id,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
69,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,1,0,61,0,0,0,0,0,8,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,20,187,33,39,199,0,0,0,0,0,0,0,0,0,385,0,0,144
78,2436,1953,2298,1298,2566,2406,9751,13323,29348,33143,30187,34371,26443,8695,42095,112,25524,2335
79,0,0,0,0,0,0,0,0,20,37,507,4113,1794,1144,3046,3441,2900,3351
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,3,0,0,16,2,1,5,2,6,10,104,0,0,1,0,2,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,254,0,0,0,0,0,0,0,740,0,34,0,0,0,0,0,0,0
86,96,2,182,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,149,345,5,266,137,45,206,190,103,511,0,0,0,0,0,0,0,0
93,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
94,20211,9928,14451,19146,10556,10147,18395,19544,18007,22399,15280,17104,15200,12575,10867,9934,5277,9802
95,24343,28254,20131,17521,6288,21806,14458,2696,7761,2206,13168,15019,11613,286,1472,5464,5839,2431
96,100,0,0,1,0,0,0,10,10,5,56,86,6,0,11,8,4,1
97,0,0,0,0,0,0,19,475,11,0,0,0,0,0,0,0,0,0
98,1,0,0,0,5,0,0,3,27,0,2,12,0,0,0,6,291,1
99,3937,3336,6156,7524,0,0,0,0,0,0,0,3230,10425,0,0,0,0,0
100,0,0,0,0,96,0,0,1,1,0,2,0,2,0,0,0,0,0
